,2,3,4,5,6,7,9,10,11,12,13,14,15,18,19,22,23,25,26,27,28,30
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0
3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
