DataPoint #,Frame Axle Mount Inset,Frame FCC Loading Style,Frame FCC Loading Style - Flush,Frame FCC Loading Style - Hanging,Frame Overbody Height,Frame Shape,Frame Shape - Box,Frame Shape - MUTT,Frame Shape - Protector,Frame Shape - SMSS,Frame Underbody Length,Frame Underbody Width,Offload Generator Present,Offload Generator Height,Offload Generator Length,Offload Generator Width,Running Gear Type,Running Gear Type - Four-Wheeled,Running Gear Type - Six-Wheeled,Running Gear Type - Eight-Wheeled,Running Gear Type - Oval Track,Running Gear Type - Trapazoidal Track,Running Gear Type - Parallelogram Track,Running Gear Type - Mattrack,Running Gear Back Mount Inset,Running Gear Front Mount Inset,Running Gear Drive Gear Radius,Running Gear Drive Gear Radius - 5,Running Gear Drive Gear Radius - 6,Running Gear Drive Gear Radius - 7,Running Gear Drive Gear Width,Running Gear Track Thickness,Running Gear Track Width,Running Gear Mattrack Ground Contract Length,Running Gear Mattrack Inset Length,Running Gear Mattrack Length,Running Gear Mattrack Track Width,Running Gear Road Wheel Radius,Running Gear Road Wheel Radius - 3.5,Running Gear Road Wheel Radius - 4,Running Gear Road Wheel Radius - 5,Running Gear Road Wheel Radius - 6,Running Gear Road Wheel Radius - 7,Running Gear Road Wheel Width,Running Gear Wheel Contact Patch Arc,Running Gear Wheel Radius,Running Gear Wheel Width,Steering Type Name,Steering Type Name - Pivot,Steering Type Name - Skid,Steering Type Name - Single Ackerman,Steering Type Name - Dual Ackerman,Winch Present,Winch Stowed Width,Back Deck Overhang in,Running Gear Contact Patch Area in2,SMET FCC Length in,SMET FCC CtoC Turning Diameter in
1,5,1,1,0,0,1,1,0,0,0,44,19,1,24.86,28.323,22.441,6,0,0,0,0,0,1,0,12.5,9,3,0,0,1,13,2,14,0,0,0,0,1,1,0,0,0,0,0,0,16,1,3,0,0,1,0,0,0,7.5,807.184,55.5,121.9811344
2,4,2,0,1,6,4,0,0,0,1,92,37,1,26.229,35.977,13.617,2,0,1,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,3,0,0,1,0,0,0,10,102.6106993,112,169.0951783
3,4,1,1,0,14,2,0,1,0,0,131,47,1,31.244,34.925,25.688,6,0,0,0,0,0,1,0,16,7,2,0,1,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,13,1,1,1,0,0,0,1,4.524,12,3287.58,147.524,166.4101276
4,13,1,1,0,31,3,0,0,1,0,47,22,1,15.03,36.587,16.419,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,11,1,4,0,0,0,1,1,5.61,20,0,87,56.9647621
5,11,1,1,0,8,3,0,0,1,0,68,44,1,32.248,30.962,14.461,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,15,1,3,0,0,1,0,0,0,22,0,112,144.7980054
6,14,1,1,0,7,3,0,0,1,0,127,21,1,32.323,29.824,24.357,6,0,0,0,0,0,1,0,16,7,2,0,1,0,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,12,1,4,0,0,0,1,1,3.675,2,2396.408,132.675,145.1195928
7,4,2,0,1,30,3,0,0,1,0,59,31,1,20.709,23.528,28.888,5,0,0,0,0,1,0,0,6,6,1,1,0,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,15,1,3,0,0,1,0,0,0,2,1530,63,189.9717016
8,14,1,1,0,2,4,0,0,0,1,34,19,2,0,0,0,2,0,1,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,4,0,0,0,1,0,0,5,139.2573776,44,40.68197065
9,15,2,0,1,0,1,1,0,0,0,77,22,1,13.931,25.76,13.667,6,0,0,0,0,0,1,0,22,7,2,0,1,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,11,1,1,1,0,0,0,0,0,7,637.224,84,109.3434955
10,9,2,0,1,11,3,0,0,1,0,40,44,2,0,0,0,4,0,0,0,1,0,0,0,8,8,3,0,0,1,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,19,1,1,1,0,0,0,1,8.708,0,0,48.708,104.0983634
