DataPoint #,Frame Axle Mount Inset,Frame FCC Loading Style,Frame FCC Loading Style - Flush,Frame FCC Loading Style - Hanging,Frame Overbody Height,Frame Shape,Frame Shape - Box,Frame Shape - MUTT,Frame Shape - Protector,Frame Shape - SMSS,Frame Underbody Length,Frame Underbody Width,Offload Generator Present,Offload Generator Height,Offload Generator Length,Offload Generator Width,Running Gear Type,Running Gear Type - Four-Wheeled,Running Gear Type - Six-Wheeled,Running Gear Type - Eight-Wheeled,Running Gear Type - Oval Track,Running Gear Type - Trapazoidal Track,Running Gear Type - Parallelogram Track,Running Gear Type - Mattrack,Running Gear Back Mount Inset,Running Gear Front Mount Inset,Running Gear Drive Gear Radius,Running Gear Drive Gear Radius - 5,Running Gear Drive Gear Radius - 6,Running Gear Drive Gear Radius - 7,Running Gear Drive Gear Width,Running Gear Track Thickness,Running Gear Track Width,Running Gear Mattrack Ground Contract Length,Running Gear Mattrack Inset Length,Running Gear Mattrack Length,Running Gear Mattrack Track Width,Running Gear Road Wheel Radius,Running Gear Road Wheel Radius - 3.5,Running Gear Road Wheel Radius - 4,Running Gear Road Wheel Radius - 5,Running Gear Road Wheel Radius - 6,Running Gear Road Wheel Radius - 7,Running Gear Road Wheel Width,Running Gear Wheel Contact Patch Arc,Running Gear Wheel Radius,Running Gear Wheel Width,Steering Type Name,Steering Type Name - Pivot,Steering Type Name - Skid,Steering Type Name - Single Ackerman,Steering Type Name - Dual Ackerman,Winch Present,Winch Stowed Width
624,3,2,0,1,0,1,1,0,0,0,84,42,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,14,1,4,0,0,0,1,1,4.548
625,15,2,0,1,21,2,0,1,0,0,93,46,2,0,0,0,6,0,0,0,0,0,1,0,16,7,2,0,1,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,14,1,4,0,0,0,1,1,7.825
626,15,2,0,1,8,3,0,0,1,0,56,35,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,16,1,3,0,0,1,0,0,0
627,8,2,0,1,7,4,0,0,0,1,84,35,1,29.256,34.949,22.23,6,0,0,0,0,0,1,0,14,9,3,0,0,1,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,16,1,2,0,1,0,0,0,0
628,14,1,1,0,0,1,1,0,0,0,130,33,1,27.298,23.723,24.901,6,0,0,0,0,0,1,0,20,7,1,1,0,0,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,11,1,2,0,1,0,0,1,5.954
629,4,2,0,1,26,3,0,0,1,0,98,46,2,0,0,0,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,3,0,0,1,0,1,5.646
630,8,1,1,0,4,4,0,0,0,1,65,20,1,27.492,24.241,21.407,3,0,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,3,0,0,1,0,0,0
631,12,1,1,0,0,1,1,0,0,0,90,57,2,0,0,0,1,1,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,4,0,0,0,1,0,0
632,4,2,0,1,12,3,0,0,1,0,124,50,1,29.196,34.566,24.149,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,16,1,4,0,0,0,1,0,0
633,13,2,0,1,22,4,0,0,0,1,87,39,1,16.379,35.176,20.159,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,19,1,2,0,1,0,0,1,5.191
634,6,1,1,0,9,3,0,0,1,0,123,45,1,22.732,30.854,16.49,5,0,0,0,0,1,0,0,5.5,9,3,0,0,1,13,2,15,0,0,0,0,1,1,0,0,0,0,0,0,13,1,2,0,1,0,0,1,2.541
635,2,2,0,1,24,4,0,0,0,1,38,28,2,0,0,0,5,0,0,0,0,1,0,0,6,7,2,0,1,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,15,1,4,0,0,0,1,1,2.79
636,13,2,0,1,0,1,1,0,0,0,76,42,1,37.328,33.647,24.648,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,2,0,1,0,0,1,8.213
637,13,1,1,0,0,1,1,0,0,0,125,51,1,27.168,24.167,15.162,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,18,1,4,0,0,0,1,1,2.478
638,7,2,0,1,0,1,1,0,0,0,104,34,2,0,0,0,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,1,1,0,0,0,0,0
639,14,1,1,0,4,2,0,1,0,0,35,20,1,25.375,26.328,22.572,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,2,0,1,0,0,0,0
640,11,2,0,1,23,2,0,1,0,0,46,17,1,11.064,33.691,27.934,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,4,0,0,0,1,0,0
641,10,1,1,0,17,3,0,0,1,0,66,58,2,0,0,0,6,0,0,0,0,0,1,0,19,6,1,1,0,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,19,1,1,1,0,0,0,0,0
642,11,1,1,0,0,1,1,0,0,0,50,25,2,0,0,0,5,0,0,0,0,1,0,0,4.5,8,3,0,0,1,13,1,15,0,0,0,0,1,1,0,0,0,0,0,0,11,1,3,0,0,1,0,1,7.406
643,13,1,1,0,18,3,0,0,1,0,59,36,2,0,0,0,6,0,0,0,0,0,1,0,22,8,3,0,0,1,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,13,1,1,1,0,0,0,1,4.227
644,8,2,0,1,10,3,0,0,1,0,126,33,2,0,0,0,6,0,0,0,0,0,1,0,17,7,1,1,0,0,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,15,1,4,0,0,0,1,1,6.774
645,6,2,0,1,25,4,0,0,0,1,79,58,1,33.781,33.499,27.536,6,0,0,0,0,0,1,0,11.5,7,2,0,1,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,12,1,3,0,0,1,0,1,6.356
646,7,1,1,0,17,2,0,1,0,0,98,20,2,0,0,0,6,0,0,0,0,0,1,0,20,7,1,1,0,0,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,11,1,3,0,0,1,0,0,0
647,4,1,1,0,0,1,1,0,0,0,75,21,2,0,0,0,3,0,0,1,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,4,0,0,0,1,0,0
648,2,2,0,1,12,2,0,1,0,0,34,35,2,0,0,0,5,0,0,0,0,1,0,0,6,9,3,0,0,1,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,11,1,3,0,0,1,0,1,3.402
649,3,2,0,1,0,1,1,0,0,0,105,50,2,0,0,0,5,0,0,0,0,1,0,0,4.5,6,1,1,0,0,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,17,1,3,0,0,1,0,1,6.097
650,9,1,1,0,0,1,1,0,0,0,108,28,1,34.79,34.331,25.991,3,0,0,1,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,4,0,0,0,1,0,0
651,9,2,0,1,0,1,1,0,0,0,89,49,1,28.696,25.155,18.944,5,0,0,0,0,1,0,0,5,7,2,0,1,0,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,11,1,1,1,0,0,0,0,0
652,11,1,1,0,26,4,0,0,0,1,80,52,1,21.563,32.244,24.847,4,0,0,0,1,0,0,0,5,6,1,1,0,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,12,1,1,1,0,0,0,1,8.723
653,6,1,1,0,14,3,0,0,1,0,93,26,1,20.045,31.972,12.212,1,1,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,4,0,0,0,1,1,5.149
654,2,1,1,0,0,1,1,0,0,0,129,42,1,16.139,28.894,22.215,2,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,4,0,0,0,1,0,0
655,4,1,1,0,3,2,0,1,0,0,82,19,2,0,0,0,6,0,0,0,0,0,1,0,17,7,1,1,0,0,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,11,1,4,0,0,0,1,1,4.004
656,9,1,1,0,0,1,1,0,0,0,107,47,1,18.092,23.343,22.988,2,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,2,0,1,0,0,0,0
657,12,1,1,0,0,1,1,0,0,0,76,45,2,0,0,0,5,0,0,0,0,1,0,0,6,6,1,1,0,0,13,1,14,0,0,0,0,3,0,0,1,0,0,0,0,18,1,3,0,0,1,0,1,3.917
658,13,1,1,0,26,4,0,0,0,1,104,25,2,0,0,0,2,0,1,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,1,1,0,0,0,0,0
659,3,2,0,1,13,3,0,0,1,0,95,32,1,16.818,26.55,18.394,4,0,0,0,1,0,0,0,7,6,1,1,0,0,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,15,1,4,0,0,0,1,0,0
660,1,2,0,1,0,1,1,0,0,0,107,30,2,0,0,0,6,0,0,0,0,0,1,0,12.5,9,3,0,0,1,13,2,14,0,0,0,0,1,1,0,0,0,0,0,0,15,1,4,0,0,0,1,1,5.692
661,8,2,0,1,26,4,0,0,0,1,37,51,2,0,0,0,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,1,1,0,0,0,0,0
662,10,1,1,0,19,2,0,1,0,0,100,37,2,0,0,0,4,0,0,0,1,0,0,0,9,9,3,0,0,1,13,2,14,0,0,0,0,5,0,0,0,0,1,0,0,11,1,4,0,0,0,1,1,6.013
663,4,2,0,1,0,1,1,0,0,0,85,40,1,24.186,27.216,14.485,5,0,0,0,0,1,0,0,9,9,3,0,0,1,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,13,1,4,0,0,0,1,1,8.15
664,11,2,0,1,18,2,0,1,0,0,84,38,2,0,0,0,1,1,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,4,0,0,0,1,0,0
665,4,1,1,0,31,2,0,1,0,0,124,52,1,24.016,26.431,18.056,2,0,1,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,2,0,1,0,0,1,3.078
666,10,2,0,1,16,4,0,0,0,1,58,31,1,34.311,32.267,24.357,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,13,1,4,0,0,0,1,0,0
667,13,1,1,0,23,4,0,0,0,1,57,17,1,11.933,27.443,24.149,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,1,1,0,0,0,0,0
668,13,2,0,1,0,1,1,0,0,0,75,43,1,29.86,25.404,23.962,2,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,2,0,1,0,0,0,0
669,10,1,1,0,0,1,1,0,0,0,109,34,2,0,0,0,4,0,0,0,1,0,0,0,8,6,1,1,0,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,20,1,4,0,0,0,1,1,8.169
670,1,2,0,1,17,4,0,0,0,1,86,29,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,18,1,3,0,0,1,0,0,0
671,4,2,0,1,7,2,0,1,0,0,56,25,2,0,0,0,1,1,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,4,0,0,0,1,0,0
672,14,2,0,1,32,3,0,0,1,0,131,35,2,0,0,0,5,0,0,0,0,1,0,0,7,7,2,0,1,0,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,16,1,1,1,0,0,0,0,0
673,3,2,0,1,20,3,0,0,1,0,132,31,2,0,0,0,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,0,0
674,0,2,0,1,15,4,0,0,0,1,78,56,2,0,0,0,3,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,3,0,0,1,0,0,0
675,4,2,0,1,15,3,0,0,1,0,123,23,2,0,0,0,3,0,0,1,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,4,0,0,0,1,1,3.769
676,2,2,0,1,11,3,0,0,1,0,105,22,2,0,0,0,6,0,0,0,0,0,1,0,13,7,2,0,1,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,20,1,4,0,0,0,1,1,7.575
677,14,2,0,1,15,3,0,0,1,0,82,42,1,13.401,30.772,27.117,3,0,0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,4,0,0,0,1,0,0
678,4,2,0,1,6,2,0,1,0,0,81,16,2,0,0,0,4,0,0,0,1,0,0,0,8,7,1,1,0,0,13,2,15,0,0,0,0,4,0,0,0,1,0,0,0,12,1,2,0,1,0,0,1,4.77
679,0,1,1,0,5,4,0,0,0,1,131,29,1,12.592,27.248,12.345,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,15,1,3,0,0,1,0,1,7.67
680,6,1,1,0,15,3,0,0,1,0,118,17,2,0,0,0,2,0,1,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,18,1,2,0,1,0,0,1,7.448
681,13,2,0,1,20,3,0,0,1,0,83,46,1,32.158,23.853,25.391,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,3,0,0,1,0,1,7.491
682,11,1,1,0,32,2,0,1,0,0,56,48,1,35.045,33.686,16.19,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,4,0,0,0,1,0,0
683,14,1,1,0,4,3,0,0,1,0,131,42,1,11.448,28.204,26.452,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,2,0,1,0,0,1,5.646
684,7,1,1,0,18,4,0,0,0,1,41,57,1,16.359,31.306,23.819,5,0,0,0,0,1,0,0,8,8,3,0,0,1,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,18,1,3,0,0,1,0,1,5.679
685,12,2,0,1,0,1,1,0,0,0,44,45,2,0,0,0,4,0,0,0,1,0,0,0,8,7,2,0,1,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,18,1,4,0,0,0,1,0,0
686,12,2,0,1,17,2,0,1,0,0,82,34,2,0,0,0,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,3,0,0,1,0,1,4.664
687,5,1,1,0,0,1,1,0,0,0,101,51,1,31.064,36.402,23.929,6,0,0,0,0,0,1,0,17,8,2,0,1,0,13,2,14,0,0,0,0,3,0,0,1,0,0,0,0,15,1,2,0,1,0,0,1,7.894
688,14,2,0,1,7,3,0,0,1,0,47,27,1,30.974,29.514,26.82,5,0,0,0,0,1,0,0,5,8,3,0,0,1,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,18,1,4,0,0,0,1,0,0
689,3,2,0,1,31,3,0,0,1,0,62,21,1,23.142,34.843,17.77,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,12,1,1,1,0,0,0,1,4.828
690,2,2,0,1,14,4,0,0,0,1,68,38,1,14.58,27.023,24.342,4,0,0,0,1,0,0,0,7,7,2,0,1,0,13,1,15,0,0,0,0,4,0,0,0,1,0,0,0,17,1,3,0,0,1,0,0,0
691,4,1,1,0,18,4,0,0,0,1,78,43,1,35.604,30.154,27.42,5,0,0,0,0,1,0,0,8,9,3,0,0,1,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,18,1,1,1,0,0,0,0,0
692,3,1,1,0,13,4,0,0,0,1,58,58,2,0,0,0,5,0,0,0,0,1,0,0,6,7,1,1,0,0,13,2,15,0,0,0,0,2,0,1,0,0,0,0,0,14,1,4,0,0,0,1,1,8.296
693,11,1,1,0,25,3,0,0,1,0,89,28,1,9.985,33.293,15.801,2,0,1,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,1,1,0,0,0,0,0
694,8,2,0,1,0,1,1,0,0,0,42,35,1,23.716,32.03,12.678,3,0,0,1,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,17,1,1,1,0,0,0,0,0
695,15,1,1,0,9,2,0,1,0,0,35,27,2,0,0,0,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,1,1,0,0,0,1,6.089
696,11,1,1,0,0,1,1,0,0,0,88,32,1,39.221,30.109,23.154,2,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,4,0,0,0,1,0,0
697,12,1,1,0,0,1,1,0,0,0,43,34,2,0,0,0,6,0,0,0,0,0,1,0,23,8,2,0,1,0,13,2,15,0,0,0,0,5,0,0,0,0,1,0,0,16,1,2,0,1,0,0,1,4.166
698,11,1,1,0,33,3,0,0,1,0,107,32,1,16.633,36.014,24.527,3,0,0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,2,0,1,0,0,0,0
699,3,1,1,0,0,1,1,0,0,0,70,18,1,37.477,36.516,15.409,5,0,0,0,0,1,0,0,5,6,1,1,0,0,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,17,1,4,0,0,0,1,1,2.93
700,10,1,1,0,21,2,0,1,0,0,99,34,1,31.029,38.281,13.347,5,0,0,0,0,1,0,0,7,7,1,1,0,0,13,2,14,0,0,0,0,3,0,0,1,0,0,0,0,16,1,2,0,1,0,0,1,5.134
701,1,1,1,0,17,4,0,0,0,1,107,52,2,0,0,0,1,1,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,19,1,3,0,0,1,0,1,2.27
702,7,1,1,0,7,4,0,0,0,1,66,34,1,19.321,27.636,16.407,6,0,0,0,0,0,1,0,13,7,2,0,1,0,13,1,15,0,0,0,0,2,0,1,0,0,0,0,0,17,1,1,1,0,0,0,1,6.095
703,3,1,1,0,0,1,1,0,0,0,114,30,2,0,0,0,6,0,0,0,0,0,1,0,13,7,2,0,1,0,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,13,1,2,0,1,0,0,1,2.527
704,0,1,1,0,15,2,0,1,0,0,55,54,1,17.258,30.038,18.926,5,0,0,0,0,1,0,0,4.5,8,3,0,0,1,13,1,14,0,0,0,0,1,1,0,0,0,0,0,0,20,1,4,0,0,0,1,0,0
705,0,2,0,1,30,4,0,0,0,1,126,56,2,0,0,0,5,0,0,0,0,1,0,0,8,8,2,0,1,0,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,11,1,2,0,1,0,0,1,7.095
706,1,2,0,1,0,1,1,0,0,0,83,35,1,18.062,29.504,24.66,2,0,1,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,1,1,0,0,0,1,4.215
707,2,2,0,1,5,3,0,0,1,0,49,38,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,14,1,3,0,0,1,0,0,0
708,6,1,1,0,33,3,0,0,1,0,72,30,2,0,0,0,6,0,0,0,0,0,1,0,13,8,3,0,0,1,13,1,14,0,0,0,0,2,0,1,0,0,0,0,0,12,1,1,1,0,0,0,1,4.517
709,15,2,0,1,12,3,0,0,1,0,90,17,2,0,0,0,3,0,0,1,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,20,1,4,0,0,0,1,0,0
710,3,2,0,1,0,2,0,1,0,0,54,45,2,0,0,0,2,0,1,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,15,1,1,1,0,0,0,1,4.772
711,9,1,1,0,5,2,0,1,0,0,79,47,1,10.13,38.04,29.007,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,20,1,3,0,0,1,0,1,5.214
712,6,1,1,0,0,1,1,0,0,0,108,37,1,30.939,36.088,27.281,6,0,0,0,0,0,1,0,22,6,1,1,0,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,19,1,4,0,0,0,1,1,7.894
713,8,1,1,0,32,2,0,1,0,0,131,20,1,24.96,32.421,14.493,6,0,0,0,0,0,1,0,14,8,2,0,1,0,13,2,14,0,0,0,0,2,0,1,0,0,0,0,0,17,1,2,0,1,0,0,0,0
714,14,1,1,0,5,4,0,0,0,1,130,43,1,29.705,34.508,13.284,3,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,4,0,0,0,1,1,8.473
715,10,2,0,1,29,3,0,0,1,0,99,17,2,0,0,0,5,0,0,0,0,1,0,0,8,9,3,0,0,1,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,12,1,3,0,0,1,0,0,0
716,5,1,1,0,31,4,0,0,0,1,119,34,1,11.394,36.933,21.481,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,11,1,2,0,1,0,0,0,0
717,3,2,0,1,0,1,1,0,0,0,126,31,2,0,0,0,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,1,1,0,0,0,0,0
718,9,1,1,0,12,2,0,1,0,0,99,32,2,0,0,0,2,0,1,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,3,0,0,1,0,1,5.29
719,0,1,1,0,0,1,1,0,0,0,110,57,2,0,0,0,5,0,0,0,0,1,0,0,7,7,2,0,1,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,20,1,2,0,1,0,0,0,0
720,7,1,1,0,0,1,1,0,0,0,99,25,2,0,0,0,5,0,0,0,0,1,0,0,6,7,2,0,1,0,13,1,15,0,0,0,0,3,0,0,1,0,0,0,0,15,1,4,0,0,0,1,0,0
721,5,2,0,1,19,2,0,1,0,0,54,40,2,0,0,0,1,1,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,14,1,4,0,0,0,1,1,4.305
722,13,1,1,0,18,3,0,0,1,0,42,58,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,45,33,55,13,0,0,0,0,0,0,0,0,13,1,4,0,0,0,1,1,7.594
723,10,1,1,0,0,1,1,0,0,0,118,33,1,22.942,24.621,23.326,6,0,0,0,0,0,1,0,17,9,3,0,0,1,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,19,1,4,0,0,0,1,0,0
724,9,2,0,1,0,1,1,0,0,0,128,19,2,0,0,0,6,0,0,0,0,0,1,0,22,7,2,0,1,0,13,1,14,0,0,0,0,5,0,0,0,0,1,0,0,12,1,3,0,0,1,0,1,5.648
725,2,2,0,1,23,3,0,0,1,0,122,29,2,0,0,0,1,1,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,2,0,1,0,0,1,8.525
726,3,1,1,0,17,3,0,0,1,0,85,38,1,16.049,30.238,23.314,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,1,1,0,0,0,0,0
727,15,1,1,0,0,1,1,0,0,0,107,29,2,0,0,0,4,0,0,0,1,0,0,0,7,7,2,0,1,0,13,1,14,0,0,0,0,4,0,0,0,1,0,0,0,18,1,2,0,1,0,0,1,4.338
728,11,1,1,0,12,3,0,0,1,0,131,48,1,11.523,32.714,23.843,2,0,1,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,13,1,1,1,0,0,0,0,0
729,8,1,1,0,0,1,1,0,0,0,97,50,2,0,0,0,3,0,0,1,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,16,1,4,0,0,0,1,0,0
730,15,1,1,0,20,2,0,1,0,0,104,58,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,48,33,55,13,0,0,0,0,0,0,0,0,15,1,3,0,0,1,0,0,0
731,14,2,0,1,0,1,1,0,0,0,53,40,2,0,0,0,3,0,0,1,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,4,0,0,0,1,0,0
732,4,1,1,0,32,3,0,0,1,0,121,16,2,0,0,0,2,0,1,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,12,1,1,1,0,0,0,1,2.542
733,11,2,0,1,0,1,1,0,0,0,99,30,1,25.544,25.137,14.095,5,0,0,0,0,1,0,0,7,9,3,0,0,1,13,2,15,0,0,0,0,3,0,0,1,0,0,0,0,13,1,1,1,0,0,0,1,7.221
734,1,1,1,0,11,3,0,0,1,0,83,55,2,0,0,0,6,0,0,0,0,0,1,0,20,7,1,1,0,0,13,2,14,0,0,0,0,4,0,0,0,1,0,0,0,12,1,2,0,1,0,0,1,2.423
735,7,1,1,0,0,1,1,0,0,0,70,52,1,12.148,32.627,19.829,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,47,33,55,13,0,0,0,0,0,0,0,0,18,1,2,0,1,0,0,0,0
736,3,2,0,1,22,4,0,0,0,1,72,17,2,0,0,0,2,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.99,11,1,1,1,0,0,0,0,0
737,9,1,1,0,29,3,0,0,1,0,114,36,2,0,0,0,7,0,0,0,0,0,0,1,33,33,0,0,0,0,0,0,0,46,33,55,13,0,0,0,0,0,0,0,0,16,1,2,0,1,0,0,1,5.489
738,3,2,0,1,1,4,0,0,0,1,62,26,2,0,0,0,6,0,0,0,0,0,1,0,17,7,1,1,0,0,13,2,14,0,0,0,0,3,0,0,1,0,0,0,0,16,1,2,0,1,0,0,1,7.068
